kwota,kategoria,typ,opis,data
2500.0,wynagrodzenie,przychód,,2024-01-05
150.5,jedzenie,wydatek,Supermarket,2024-01-06
75.0,transport,wydatek,Metro,2024-01-07
300.0,rozrywka,wydatek,Kinobilety,2024-01-08
500.0,mieszkanie,wydatek,Czynsz,2024-01-09
200.0,zdrowie,wydatek,Lekarz,2024-01-10
350.0,sprzedaż,przychód,Internet,2024-01-11
100.0,rachunki,wydatek,Prąd,2024-01-12
60.0,edukacja,wydatek,Kurs online,2024-01-13
400.0,premie,przychód,,2024-01-14
80.0,transport,wydatek,Autobus,2024-01-15
120.0,jedzenie,wydatek,Restauracja,2024-01-16
500.0,podróże,wydatek,Bilety lotnicze,2024-01-17
2200.0,wynagrodzenie,przychód,,2024-01-18
90.0,rozrywka,wydatek,Teatr,2024-01-19
130.0,rachunki,wydatek,Woda,2024-01-20
310.0,sprzedaż,przychód,Sklep internetowy,2024-01-21
50.0,inne wydatki,wydatek,Drobne zakupy,2024-01-22
2700.0,wynagrodzenie,przychód,,2024-01-23
140.0,jedzenie,wydatek,Fast food,2024-01-24
85.0,transport,wydatek,Taksówka,2024-01-25
95.0,edukacja,wydatek,Książki,2024-01-26
600.0,wynagrodzenie,przychód,,2024-01-27
110.0,rachunki,wydatek,Internet,2024-01-28
75.0,zdrowie,wydatek,Apteka,2024-01-29
2300.0,wynagrodzenie,przychód,,2024-01-30
65.0,jedzenie,wydatek,Kawiarnia,2024-01-31
105.0,transport,wydatek,Rower,2024-02-01
400.0,sprzedaż,przychód,Usługi,2024-02-02
130.0,rozrywka,wydatek,Koncert,2024-02-03
2100.0,wynagrodzenie,przychód,,2024-02-04
85.0,rachunki,wydatek,Telefon,2024-02-05
60.0,edukacja,wydatek,Seminarium,2024-02-06
2500.0,wynagrodzenie,przychód,,2024-02-07
100.0,jedzenie,wydatek,Market,2024-02-08
70.0,transport,wydatek,Parking,2024-02-09
500.0,premie,przychód,,2024-02-10
150.0,rozrywka,wydatek,Gry,2024-02-11
2400.0,wynagrodzenie,przychód,,2024-02-12
95.0,rachunki,wydatek,Gaz,2024-02-13
80.0,zdrowie,wydatek,Fitness,2024-02-14
2600.0,wynagrodzenie,przychód,,2024-02-15
120.0,jedzenie,wydatek,Restauracja,2024-02-16
90.0,transport,wydatek,Tramwaj,2024-02-17
350.0,sprzedaż,przychód,Handel,2024-02-18
110.0,rozrywka,wydatek,Kino,2024-02-19
2200.0,wynagrodzenie,przychód,,2024-02-20
85.0,rachunki,wydatek,Prąd,2024-02-21
70.0,edukacja,wydatek,Kurs językowy,2024-02-22
2800.0,wynagrodzenie,przychód,,2024-02-23
130.0,jedzenie,wydatek,Sklep spożywczy,2024-02-24
100.0,transport,wydatek,Taxi,2024-02-25
400.0,premie,przychód,,2024-02-26
160.0,rozrywka,wydatek,Escape room,2024-02-27
2500.0,wynagrodzenie,przychód,,2024-02-28
90.0,rachunki,wydatek,Internet,2024-02-29
85.0,zdrowie,wydatek,Leki,2024-03-01
2900.0,wynagrodzenie,przychód,,2024-03-02
140.0,jedzenie,wydatek,Fast food,2024-03-03
95.0,transport,wydatek,Bilet autobusowy,2024-03-04
450.0,sprzedaż,przychód,Freelance,2024-03-05
120.0,rozrywka,wydatek,Spotify,2024-03-06
2300.0,wynagrodzenie,przychód,,2024-03-07
100.0,rachunki,wydatek,Woda,2024-03-08
75.0,edukacja,wydatek,Kurs programowania,2024-03-09
3000.0,wynagrodzenie,przychód,,2024-03-10
150.0,jedzenie,wydatek,Market,2024-03-11
80.0,transport,wydatek,Autobus,2024-03-12
500.0,premie,przychód,,2024-03-13
170.0,rozrywka,wydatek,Galeria,2024-03-14
2600.0,wynagrodzenie,przychód,,2024-03-15
110.0,rachunki,wydatek,Telefon,2024-03-16
90.0,zdrowie,wydatek,Siłownia,2024-03-17
3100.0,wynagrodzenie,przychód,,2024-03-18
160.0,jedzenie,wydatek,Restauracja,2024-03-19
105.0,transport,wydatek,Taxi,2024-03-20
400.0,sprzedaż,przychód,Usługi graficzne,2024-03-21
130.0,rozrywka,wydatek,Teatr,2024-03-22
2400.0,wynagrodzenie,przychód,,2024-03-23
95.0,rachunki,wydatek,Prąd,2024-03-24
80.0,edukacja,wydatek,Kurs online,2024-03-25
2700.0,wynagrodzenie,przychód,,2024-03-26
120.0,jedzenie,wydatek,Kawiarnia,2024-03-27
100.0,transport,wydatek,Tramwaj,2024-03-28
450.0,premie,przychód,,2024-03-29
180.0,rozrywka,wydatek,Kino,2024-03-30
